first_name,last_name,party,state,twitter_handle,position
Ron,Paul,R,TX,RepRonPaul,rep
Erik,Paulsen,R,MN,RepErikPaulsen,rep
Donald,Payne,D,NJ,Payne10thNJ,rep
Nancy,Pelosi,D,CA,SpeakerPelosi,rep
Mike,Pence,R,IN,RepMikePence,rep
Ed,Perlmutter,D,CO,RepPerlmutter,rep
Tom,Perriello,D,VA,tomperriello,rep
Gary,Peters,D,MI,SenGaryPeters,rep
Collin,Peterson,D,MN,,rep
Tom,Petri,R,WI,,rep
Pedro,Pierluisi,D,PR,PedroPierluisi,rep
Chellie,Pingree,D,ME,ChelliePingree,rep
Joe,Pitts,R,PA,RepJoePitts,rep
Todd,Platts,R,PA,,rep
Ted,Poe,R,TX,JudgeTedPoe,rep
Jared,Polis,D,CO,RepJaredPolis,rep
Earl,Pomeroy,D,ND,,rep
Bill,Posey,R,FL,CongBillPosey,rep
David,Price,D,NC,RepDavidEPrice,rep
Tom,Price,R,GA,RepTomPrice,rep
Adam,Putnam,R,FL,,rep
Mike,Quigley,D,IL,RepMikeQuigley,rep
George,Radanovich,R,CA,RepRadanovich,rep
Nick,Rahall,D,WV,,rep
Charles,Rangel,D,NY,CBRangel,rep
Tom,Reed,R,NY,RepTomReed,rep
Denny,Rehberg,R,MT,DennyRehberg,rep
Dave,Reichert,R,WA,DaveReichert,rep
Silvestre,Reyes,D,TX,silvestrereyes,rep
Laura,Richardson,D,CA,replrichardson,rep
Ciro,Rodriguez,D,TX,,rep
Phil,Roe,R,TN,DrPhilRoe,rep
Harold,Rogers,R,KY,RepHalRogers,rep
Mike,Rogers,R,MI,RepMikeRogers,rep
Mike,Rogers,R,AL,RepMikeRogersAL,rep
Dana,Rohrabacher,R,CA,,rep
Tom,Rooney,R,FL,TomRooney,rep
Ileana,Ros-Lehtinen,R,FL,RosLehtinen,rep
Peter,Roskam,R,IL,PeterRoskam,rep
Mike,Ross,D,AR,RepMikeRoss,rep
Steven,Rothman,D,NJ,,rep
Lucille,Roybal-Allard,D,CA,RepRoybalAllard,rep
Edward,Royce,R,CA,RepEdRoyce,rep
C.A. Dutch,Ruppersberger,D,MD,Call_Me_Dutch,rep
Bobby,Rush,D,IL,RepBobbyRush,rep
Tim,Ryan,D,OH,RepTimRyan,rep
Paul,Ryan,R,WI,SpeakerRyan,rep
Gregorio,Sablan,I,MP,Kilili_Sablan,rep
John,Salazar,D,CO,,rep
Linda,Sánchez,D,CA,RepLindaSanchez,rep
Loretta,Sánchez,D,CA,LorettaSanchez,rep
John,Sarbanes,D,MD,RepSarbanes,rep
Steve,Scalise,R,LA,SteveScalise,rep
Jan,Schakowsky,D,IL,JanSchakowsky,rep
Mark,Schauer,D,MI,,rep
Adam,Schiff,D,CA,RepAdamSchiff,rep
Jean,Schmidt,R,OH,,rep
Aaron,Schock,R,IL,AaronSchock,rep
Kurt,Schrader,D,OR,RepSchrader,rep
Allyson,Schwartz,D,PA,,rep
David,Scott,D,GA,RepDavidScott,rep
Robert,Scott,D,VA,BobbyScott,rep
F.,Sensenbrenner,R,WI,JimPressOffice,rep
José,Serrano,D,NY,RepJoseSerrano,rep
Pete,Sessions,R,TX,PeteSessions,rep
Joe,Sestak,D,PA,JoeSestak,rep
John,Shadegg,R,AZ,,rep
Carol,Shea-Porter,D,NH,repsheaporter,rep
Brad,Sherman,D,CA,BradSherman,rep
John,Shimkus,R,IL,RepShimkus,rep
Heath,Shuler,D,NC,,rep
Bill,Shuster,R,PA,RepBillShuster,rep
Mike,Simpson,R,ID,CongMikeSimpson,rep
Albio,Sires,D,NJ,RepSires,rep
Ike,Skelton,D,MO,,rep
Louise,Slaughter,D,NY,LouiseSlaughter,rep
Adrian,Smith,R,NE,RepAdrianSmith,rep
Adam,Smith,D,WA,RepAdamSmith,rep
Christopher,Smith,R,NJ,RepChrisSmith,rep
Lamar,Smith,R,TX,LamarSmithTX21,rep
Vic,Snyder,D,AR,,rep
Hilda,Solis,D,CA,,rep
Mark,Souder,R,IN,,rep
Zack,Space,D,OH,,rep
Jackie,Speier,D,CA,RepSpeier,rep
John,Spratt,D,SC,,rep
Pete,Stark,D,CA,petestark,rep
Cliff,Stearns,R,FL,RepCliffStearns,rep
Bart,Stupak,D,MI,,rep
Marlin,Stutzman,R,IN,RepStutzman,rep
John,Sullivan,R,OK,USRepSullivan,rep
Betty,Sutton,D,OH,BettySutton,rep
John,Tanner,D,TN,,rep
Ellen,Tauscher,D,CA,,rep
Gene,Taylor,D,MS,,rep
Harry,Teague,D,NM,,rep
Lee,Terry,R,NE,LEETERRYNE,rep
Mike,Thompson,D,CA,RepThompson,rep
Glenn,Thompson,R,PA,CongressmanGT,rep
Bennie,Thompson,D,MS,BennieGThompson,rep
William,Thornberry,R,TX,MacTXPress,rep
Todd,Tiahrt,R,KS,RepToddTiahrt,rep
Pat,Tiberi,R,OH,TiberiPress,rep
John,Tierney,D,MA,RepTierney,rep
Dina,Titus,D,NV,RepDinaTitus,rep
Paul,Tonko,D,NY,RepPaulTonko,rep
Edolphus,Towns,D,NY,edtowns,rep
Niki,Tsongas,D,MA,NikiInTheHouse,rep
Michael,Turner,R,OH,RepMikeTurner,rep
Fred,Upton,R,MI,RepFredUpton,rep
Chris,Van Hollen,D,MD,ChrisVanHollen,rep
Nydia,Velázquez,D,NY,NydiaVelazquez,rep
Peter,Visclosky,D,IN,RepVisclosky,rep
Greg,Walden,R,OR,RepGregWalden,rep
Tim,Walz,D,MN,RepTimWalz,rep
Zach,Wamp,R,TN,zachwamp,rep
Debbie,Wasserman Schultz,D,FL,RepDWStweets,rep
Maxine,Waters,D,CA,RepMaxineWaters,rep
Diane,Watson,D,CA,,rep
Melvin,Watt,D,NC,MelWattNC12,rep
Henry,Waxman,D,CA,WaxmanClimate,rep
Anthony,Weiner,D,NY,repweiner,rep
Peter,Welch,D,VT,PeterWelch,rep
Lynn,Westmoreland,R,GA,RepWestmoreland,rep
Robert,Wexler,D,FL,,rep
Edward,Whitfield,R,KY,RepEdWhitfield,rep
Charlie,Wilson,D,OH,,rep
Joe,Wilson,R,SC,RepJoeWilson,rep
Robert,Wittman,R,VA,RobWittman,rep
Frank,Wolf,R,VA,RepWOLFPress,rep
Lynn,Woolsey,D,CA,RepLynnWoolsey,rep
David,Wu,D,OR,davidwu2010,rep
John,Yarmuth,D,KY,RepJohnYarmuth,rep
C. W. Bill,Young,R,FL,,rep
Don,Young,R,AK,RepDonYoung,rep
